track_id,track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,umur,calm,energic,sad,happy,angry
0tCqX7pASaZeHPC4FhAwe8,Brahms Lullaby,Sleepy Shepherd,0.39,0.0161,1,-29.263,1,0.0398,0.993,0.674,0.133,0.5,143.848,47812,3,bayi,0,0,1,1,0
2DGSytzXs9oqYUy5tqxfSB,Twinkle Twinkle Little Star,Tommy Twinkle,0.55,0.0642,1,-24.304,1,0.123,0.996,0.955,0.0951,0.791,84.369,103393,4,bayi,1,0,0,0,0
0KOOhxPmW5pfMXjgWzRf0j,Goodnight Little Dreamer,Little Dreamer,0.309,0.00781,2,-30.09,1,0.0557,0.996,0.916,0.0676,0.457,172.461,114046,4,bayi,0,1,1,1,0
4tbnZK9nKvuyCrqyu8o0eG,Hush Little Baby,Sleepy Shepherd,0.554,0.0204,11,-27.418,1,0.0528,0.995,0.897,0.0922,0.359,75.987,56769,4,bayi,1,0,1,0,0
5YMmjaZEzUoI8EFZm4q2fB,Moonlight Walk,Orion The Owl,0.479,0.0189,10,-24.228,1,0.0514,0.993,0.953,0.121,0.287,78.055,134054,1,bayi,1,0,1,0,0
1EvERSC5XOhhcvGdhSHjil,Golden Sunrise,Chillboy,0.561,0.0154,4,-24.016,1,0.0577,0.996,0.941,0.0958,0.415,124.113,127876,3,bayi,0,0,1,0,0
4GphHeTcJqlEblY6jRMyaG,Lavender's Blue,Sleepy Shepherd,0.532,0.0323,5,-26.907,1,0.0441,0.993,0.904,0.134,0.344,89.929,67333,3,bayi,0,0,1,0,0
5Nl8DkhAlQjkci2AiJI90h,Wake Up,Bluedon,0.618,0.00838,0,-21.242,1,0.055,0.987,0.968,0.0965,0.521,80.246,115406,4,bayi,1,0,1,0,0
5znZqW4EAEvy6Oz8H5zSE2,You Are My Sunshine,Sleepy Shepherd,0.494,0.0225,8,-28.313,1,0.0361,0.995,0.914,0.112,0.583,64.983,76615,4,bayi,1,0,1,0,0
0nyFiAUU92dxCDbOJFHP9E,Rock A Bye Baby,Sleepy Shepherd,0.598,0.0318,7,-22.212,1,0.0614,0.995,0.847,0.127,0.589,89.897,48000,3,bayi,0,0,1,0,0
7DOQ5HUSJeHYLmOhtGKz3y,Are You Sleeping,Sleepy Shepherd,0.518,0.0256,8,-27.621,1,0.0452,0.995,0.84,0.0917,0.367,131.832,72045,4,bayi,0,0,1,0,0
6lpb4EVYeX94RQb2mo3AUr,My Bonnie Lies Over The Ocean,Sleepy Shepherd,0.338,0.0155,11,-29.874,1,0.0445,0.995,0.961,0.085,0.365,179.969,70667,3,bayi,0,0,1,1,0
1B0SN5PHT51NMy4kvlqrAy,Baa Baa Black Sheep,Sleepy Shepherd,0.538,0.0333,4,-23.151,1,0.0366,0.994,0.874,0.0821,0.441,65.993,75341,4,bayi,1,0,1,0,0
6mZQXPV4n8FBDEYGFX8O8k,Itsy Bitsy Spider,Sleepy Shepherd,0.508,0.0172,4,-26.652,1,0.0349,0.993,0.917,0.0855,0.35,100.042,87000,4,bayi,0,0,1,0,0
01b3JCDs8aA4D6Rglx8yhX,Trust Me,Sleepy Shepherd,0.536,0.0128,10,-24.603,1,0.0985,0.995,0.968,0.0875,0.567,108.926,62727,5,bayi,0,0,1,0,0
1K7JgK79uuxSOpbB415lpM,Daydreaming,Sleepy Shepherd,0.413,0.0354,8,-31.037,1,0.0489,0.995,0.927,0.112,0.767,109.883,79205,4,bayi,0,0,0,0,0
3AaXL2lS7KGyazdQ1SDt4i,Peaceful Sunset,Sleepy Shepherd,0.546,0.0192,0,-29.264,1,0.189,0.996,0.968,0.073,0.674,72.581,72273,3,bayi,1,0,1,0,0
1VvLz9pvdkxhKP3jJwEilQ,Night Sky,Sleepy Shepherd,0.416,0.021,10,-28.794,1,0.0499,0.995,0.928,0.109,0.641,116.472,62955,3,bayi,0,0,1,0,0
1Dmu3GiJut8z1QzeLyKxmK,Singing For You,Sleepy Shepherd,0.506,0.0146,1,-29.6,0,0.0704,0.996,0.968,0.116,0.656,120.956,55000,4,bayi,0,0,1,0,0
6sa1YuE21HhVP0uif0TH01,Fade Away,Sleepy Shepherd,0.383,0.0115,6,-31.196,1,0.0598,0.996,0.863,0.0953,0.476,62.098,59704,3,bayi,1,0,1,0,0
